
Population: All

 Time   Susceptible      Infected     Recovered
16.10      0.000000      0.034801      0.965198
16.20      0.000000      0.034001      0.965999
16.30      0.000000      0.033219      0.966781
16.40      0.000000      0.032455      0.967545
16.50      0.000000      0.031708      0.968291
16.60      0.000000      0.030979      0.969021
16.70      0.000000      0.030266      0.969733
16.80      0.000000      0.029570      0.970429
16.90      0.000000      0.028890      0.971109
17.00      0.000000      0.028226      0.971774
17.10      0.000000      0.027577      0.972423
17.20      0.000000      0.026942      0.973057
17.30      0.000000      0.026323      0.973677
17.40      0.000000      0.025717      0.974282
17.50      0.000000      0.025126      0.974874
17.60      0.000000      0.024548      0.975452
17.70      0.000000      0.023983      0.976016
17.80      0.000000      0.023432      0.976568
17.90      0.000000      0.022893      0.977107
18.00      0.000000      0.022366      0.977633
18.10      0.000000      0.021852      0.978148
18.20      0.000000      0.021349      0.978650
18.30      0.000000      0.020858      0.979142
18.40      0.000000      0.020378      0.979621
18.50      0.000000      0.019910      0.980090
18.60      0.000000      0.019452      0.980548
18.70      0.000000      0.019004      0.980995
18.80      0.000000      0.018567      0.981432
18.90      0.000000      0.018140      0.981859
19.00      0.000000      0.017723      0.982277
19.10      0.000000      0.017315      0.982684
19.20      0.000000      0.016917      0.983083
19.30      0.000000      0.016528      0.983472
19.40      0.000000      0.016148      0.983852
19.50      0.000000      0.015776      0.984223
19.60      0.000000      0.015414      0.984586
19.70      0.000000      0.015059      0.984941
19.80      0.000000      0.014713      0.985287
19.90      0.000000      0.014374      0.985625
